assay_id	assay_type	description	method	annotated_method	evaluation
2240177	B	Induction of HDAC4 degradation in human HL-60 cells at 0.1 to 10 uM after 6 hrs by Western blot analysis	Western blot analysis	Western blot analysis	TP
1708538	B	Binding affinity to ACTR3 in human NCI-H23 cells at 1 uM by mass spectrometry based pull down assay	mass spectrometry based pull down assay	mass spectrometry based pull down assay	TP
1837015	B	Inhibition of recombinant human TRKC (510 to end residues) assessed as residual activity at 10 uM using GEEPLYWSFPAKK as substrate incubated for 40 mins in presence of [gamma33P]ATP by scintillation counting based radiometry assay relative to control	scintillation counting	scintillation counting based radiometry assay	PM
46520	B	Inhibitory concentration of compound required against Caspase-1 compared to acylated dipeptides			TN
533526	B	Inhibition of human trypsin at 100 uM			TN
2102748	B	Inhibition of equine serum BChE using butyrylthiocholine iodide as substrate preincubated with enzyme for 30 mins followed by substrate addition and measured after 30 mins by Ellman's method	butyrylthiocholine iodide as substrate preincubated with enzyme for 30 mins followed | Ellman's method	Ellman's method	PM
2128681	B	Inhibition of human N-terminal GST-fusion tagged VEGFR2 cytoplasmic domain (790 to 1356 end residues) expressed in Sf21 insect cells			TN
659332	B	Inhibition of c-Kit by HTRF assay	HTRF assay	HTRF assay	TP
2322170	B	Inhibition of human HDAC3 using Boc-Lys (acetyl)-AMC as substrate pretreated with compound for 1 hrs followed by substrate addition measured after 1 hrs by microplate reader analysis	Boc-Lys (acetyl)-AMC as substrate pretreated with compound for 1 hrs followed		FP
1614150	B	Displacement of [125I]-p-iodoclonidine from I1 receptor imidazoline binding site in Sprague-Dawley rat kidney cell membranes after 30 mins by liquid scintillation counting	liquid scintillation counting	liquid scintillation counting	TP
2184197	B	Inhibition of IGF1R (unknown origin) at 1 uM relative to origin			TN
989540	B	Antagonist activity at human TRPA1 expressed in CHO cells assessed as inhibition of allyl isothiocyanate-induced 45Ca2+ uptake at 1 uM incubated for 10 mins prior to allyl isothiocyanate-challenge measured after 2 to 5 mins by liquid scintillation counting analysis	liquid scintillation counting analysis	liquid scintillation counting analysis	TP
384612	B	Displacement of [3H]prazosin from adrenergic alpha-1A receptor in rat submaxillary gland membranes			TN
841613	B	Inhibition of human recombinant COX-2 at 10 uM by ELISA	ELISA	ELISA	TP
1644000	B	Inhibition of FGFR1 in human SGC7901 cells assessed as reduction in FGF-induced phosphorylation of ERK1/2 preincubated with cells followed by FGF addition by Western blot method	Western blot method	Western blot method	TP
1765476	B	Binding affinity to transthyretin in dog serum assessed as protein occupancy at 10 uM by fluorescent probe exclusion assay	fluorescent probe exclusion assay	fluorescent probe exclusion assay	TP
2235417	B	Inhibition of full length mouse recombinant MoPrP (23 to 231 residues) aggregation in RML prion infected mouse ScN2a cell lysate using PrPSc as substrate by Thioflavin T based fluorometric assay	fluorometric assay	Thioflavin T based fluorometric assay	PM
27715	B	Displacement of [3H]DPCPX from human Adenosine A1 receptor expressed in CHO cells; range 213-281			TN
726327	B	Inhibition of STAT3 dimerization in mouse NIH3T3 cells expressing v-Src assessed as disruption of STAT3-STAT3: DNA complexation in nucleus after 30 mins by electrophoretic mobility shift assay	electrophoretic mobility shift assay	electrophoretic mobility shift assay	TP
2252393	B	Agonist activity at LRH-1 (unknown origin) transfected in human HeLa cells measured after 24 hrs by Dual Glo luciferase reporter gene assay		Dual Glo luciferase reporter gene assay	FN
1851198	B	Inhibition of full-length recombinant human CSK at 10 uM using poly(Glu, Tyr) 4:1 as substrate measured after 40 mins in presence of [gamma33P]ATP by scintillation counting method	scintillation counting method	scintillation counting method	TP
636887	B	Inhibition of STK39 at 1 uM			TN
1693013	B	Inhibition of wild-type human full length DLK (M1 to P859 residues) expressed in HEK293 cells assessed as residual activity at 1000 nM after 30 mins by Kinomescan method relative to control	Kinomescan method	Kinomescan method	TP
1336952	B	Inhibition of HSP90 in HEK cells expressing full-length mHtt Q73 gene assessed as reduction of mHtt level after 24 hrs by Western blot analysis	Western blot analysis	Western blot analysis	TP
696331	B	Inhibition of human COX1			TN
2157929	B	Binding affinity to NanoLuc human A1 adenosine receptor expressed in HEK293-A cells in prescence of SLV320 by NanoBRET competitive binding assay	NanoBRET competitive binding assay	NanoBRET competitive binding assay	TP
320750	B	Inhibition constant against histamine H3 receptor			TN
1454627	B	Antagonist activity against human galectin 1 at 10 mM by fluorescence polarization assay	fluorescence polarization assay	fluorescence polarization assay	TP
308018	B	Inhibitory activity against human Glutathione reductase relative to GSSG (100 uM)			TN
2204106	B	Inhibition of PI3Kalpha (unknown origin)			TN
2114474	B	Inhibition of HDAC in human Cal27CisR cells assessed as combination index at 0.4 uM measured in presence of 20 uM cDDP by MTT-based Chou-Talalay method	MTT-based Chou-Talalay method	MTT-based Chou-Talalay method	TP
371968	B	Binding affinity to ERbeta by scintillation proximity assay	scintillation proximity assay	scintillation proximity assay	TP
2265211	B	Antagonist activity at human P2Y6R expressed in human 1321N1 cells assessed as inhibition of UDP-induced calcium mobilization by FLIPR assay	FLIPR assay	FLIPR assay	TP
27450	B	Displacement of [3H]DPCPX from human Adenosine A1 receptor expressed in CHO cells; range 245-370			TN
802583	F	Antischistosomal activity against juvenile Schistosoma japonicum assessed as worm survival at 50 uM after 24 hrs relative to control			TN
214596	F	Effective concentration required to inhibit respiratory synaptial (RSV) virus-induced cytopathicity by 50% in Vero cell lines	50% in Vero cell lines		FP
35953	F	Antagonist efficacy was determined as a function (%) of maximal inhibition of an agonist in Human androgen receptor.			TN
804313	F	Antibacterial activity against Escherichia coli ATCC 25922 after 24 hrs by macrobroth dilution method in the presence of bovine serum albumin	macrobroth dilution method	macrobroth dilution method	TP
371373	F	Inhibition of beta amyloid 42 secretion in mouse N2a cells			TN
185787	F	Anticonvulsant activity was measured by maximal electroshock seizure test in rat by po administration at 50 mg/kg	maximal electroshock seizure test	maximal electroshock seizure test	TP
638216	F	Cell cycle arrest in human MDA-MB-231 cells assessed as accumulation at S phase at 100 uM after 24 to 72 hrs using propidium staining by flow cytometry	propidium staining by flow cytometry	propidium staining by flow cytometry	TP
433677	F	Antimicrobial activity against Pseudomonas aeruginosa 19C5 tracheal isolates from mechanically ventilated chronic respiratory insufficiency patient			TN
1356066	F	Antimalarial activity against Plasmodium berghei infected mouse assessed as suppression of parasitemia administered through diet for 6 days			TN
134369	F	Curative activity of the Compound after oral administration at a dose of 6.6 mg/kg and I.C.E. value of 0.60; 2/5			TN
1799885	F	Antiplasmodial activity against synchronized ring stage of chloroquine-resistant Plasmodium falciparum Dd2 infected in human erythrocytes after 48 hrs by SYBR Green 1 dye based fluorescence assay	SYBR Green 1 dye based fluorescence assay	SYBR Green 1 dye based fluorescence assay	TP
451078	F	Induction of immune response of T-cell HNC.1 hybridoma in presence of antigen-presenting spleen cells expressing Aq assessed as drug concentration required to induce IL2 secretion after 24 hrs by ELISA	ELISA	ELISA	TP
551889	F	Antifungal activity against Candida albicans A15049 by 2-fold tube dilution method	2-fold tube dilution method	2-fold tube dilution method	TP
1907545	F	Growth inhibition of human MOLT4 cells incubated for 48 hrs by sulforhodamine B assay	sulforhodamine B assay	sulforhodamine B assay	TP
1892142	F	Analgesic activity in Albino Swiss CD-1 mouse model of CCI-induced neuropathic pain assessed as reduction in paw lifting latency time at 5 to 20 mg/kg, ip administered 7 days after CCI measured at 35 mins post-dose by Cold plate test	Cold plate test	Cold plate test	TP
1630210	F	Antibacterial activity against Staphylococcus aureus ATCC 11632 after 18 to 20 hrs by two-fold microbroth dilution method	two-fold microbroth dilution method	 two-fold microbroth dilution method	PM
1552318	F	Antiproliferative activity against human H4 cells after 48 hrs by MTT assay	MTT assay	MTT assay	TP
790421	F	Cytotoxicity against human PC3 cells			TN
815412	F	Ratio of IC50 for human SJSA1 cells expressing p53 to IC50 for human p53 deficient SAOS2 cells			TN
504464	F	DNA damaging activity against DNA repair-deficient RS 322YK (rad 52Y) yeast assessed as drug level required to produce 12 mm zone of inhibition			TN
913285	F	Antidiabetic activity in Rattus norvegicus Wistar (rat) assessed as STZ-induced plasma glucose level at 10 mg/kg, po administered for 15 days by glucose oxidase method (Rvb = 377.3 +/- 10.5 mg/dl)	glucose oxidase method	glucose oxidase method	TP
1334383	F	Neuroleptic activity in ip dosed Sprague-Dawley rat assessed as failure in active avoidance response measured within 30 mins			TN
579615	F	Antimicrobial activity against Klebsiella sp. assessed as resistant isolates by CLSI breakpoint assay	CLSI breakpoint assay	CLSI breakpoint assay	TP
410484	F	Inhibition of H3 histone acetylation in human U937 cells at 100 uM			TN
100622	F	Cytotoxicity against MCF-7 cells in presence of 1 uM E2 (estradiol)			TN
1523921	F	Antimycobacterial activity against Mycobacterium kansasii 235/80 after 21 days			TN
978569	F	Antileishmanial activity against Leishmania amazonensis MHOM/BR/77/LTB0016 promastigotes after 24 hrs by cell counting	cell counting	cell counting	TP
1725534	F	In vivo inhibition of NMD in BALB/cA Jc1 nude mouse xenografted with human HCT116 cells assessed as upregulation of SC35 1.6 kb mRNA expression level in tumor at 100 mg/kg, po administered as single dose measured after 8 hrs by qPCR analysis relative to control	qPCR analysis	qPCR analysis	TP
505268	F	Growth inhibition of human DU145 cells			TN
456385	F	Ex vivo anticoagulant potency in rat plasma assessed as concentration required to double prothrombin time at 30 mg/kg, po after 1 hr relative to control			TN
2107031	F	Antimycobacterial activity against Mycobacterium tuberculosis H37Ra 7131 incubated for 21 days by broth dilution method	broth dilution method	broth dilution method	TP
312406	F	In vitro inhibition of Plasmodium falciparum K1 (0.0024 ug/mL)	In vitro inhibition of		FP
1495893	F	Antiviral activity against Hepatitis B virus infected in human HepG2.2.15 cells assessed as inhibition of HBeAg secretion at 300 uM after 9 days by ELISA	ELISA	ELISA	TP
1514200	F	Growth inhibition of human NCI-H460 cells by NCI standard protocol based method	NCI standard protocol based method	NCI standard protocol based method	TP
922533	F	Antifungal activity against Aspergillus fumigatus MTCC 343 assessed as growth inhibition by agar streak dilution method	agar streak dilution method	agar streak dilution method	TP
1798063	F	Cytoprotective activity against H2O2-induced oxidative injury in rat PC12 cells assessed as cell viability at 10 uM pretreated for 24 hrs followed by 350 uM H2O2 challenge measured after 24 hrs by MTT assay (Rvb = 60%)	MTT assay	MTT assay	TP
696401	F	Antimicrobial activity against Bacillus subtilis RCMB 101001 by twofold serial dilution method	twofold serial dilution method	twofold serial dilution method	TP
