category,p,r,f,fold
Antimicrobial activity,0.94,0.81,0.87,chunk24
Antimicrobial activity,1.00,0.88,0.93,chunk19
Antimicrobial activity,0.91,0.83,0.87,chunk14
Antimicrobial activity,1.00,0.78,0.88,chunk3
Antimicrobial activity,1.00,0.76,0.86,chunk4
Antimicrobial activity,1.00,0.89,0.94,chunk12
Antimicrobial activity,0.93,0.82,0.88,chunk22
Antimicrobial activity,0.88,0.88,0.88,chunk2
Antimicrobial activity,0.94,0.76,0.84,chunk5
Antimicrobial activity,1.00,0.76,0.86,chunk20
Antimicrobial activity,1.00,0.76,0.86,chunk10
Antimicrobial activity,1.00,0.87,0.93,chunk6
Antimicrobial activity,0.94,0.85,0.89,chunk9
Antimicrobial activity,0.94,0.79,0.86,chunk7
Antimicrobial activity,0.93,0.88,0.90,chunk21
Antimicrobial activity,0.94,0.84,0.89,chunk11
Antimicrobial activity,1.00,0.86,0.92,chunk15
Antimicrobial activity,0.86,0.71,0.77,chunk13
Antimicrobial activity,0.93,1.00,0.96,chunk8
Antimicrobial activity,0.88,0.74,0.80,chunk17
Antimicrobial activity,0.92,0.85,0.88,chunk0
Antimicrobial activity,1.00,0.74,0.85,chunk18
Antimicrobial activity,0.85,0.85,0.85,chunk23
Antimicrobial activity,1.00,0.80,0.89,chunk1
Antimicrobial activity,0.94,0.94,0.94,chunk16
Binding (BAO_0002989),0.91,0.88,0.89,chunk19
Binding (BAO_0002989),0.96,0.83,0.89,chunk22
Binding (BAO_0002989),0.96,0.96,0.96,chunk0
Binding (BAO_0002989),0.85,0.81,0.83,chunk10
Binding (BAO_0002989),0.86,0.96,0.91,chunk11
Binding (BAO_0002989),0.95,0.75,0.84,chunk2
Binding (BAO_0002989),0.90,0.88,0.89,chunk15
Binding (BAO_0002989),0.96,0.96,0.96,chunk6
Binding (BAO_0002989),0.83,0.89,0.86,chunk17
Binding (BAO_0002989),0.81,0.90,0.85,chunk1
Binding (BAO_0002989),0.88,0.88,0.88,chunk12
Binding (BAO_0002989),0.81,0.75,0.78,chunk3
Binding (BAO_0002989),0.89,0.65,0.76,chunk16
Binding (BAO_0002989),0.91,0.83,0.87,chunk21
Binding (BAO_0002989),0.84,0.84,0.84,chunk5
Binding (BAO_0002989),0.96,0.88,0.92,chunk18
Binding (BAO_0002989),0.83,0.86,0.85,chunk7
