assay_id,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score,Tags,bao_id_mapped,suggested_mapping_correct
1912425,2D TROSY [1H-15N] spectroscopy,computational electron microscopy structure solution,BAO:0002220,http://www.bioassayontology.org/bao#BAO_0002220,0.29,None,BAO_0002220,0
1912425,2D TROSY [1H-15N] spectroscopy,Liquid Chromatography/Mass Spectroscopy (LC/MS) protein quantification,BAO:0010071,http://www.bioassayontology.org/bao#BAO_0010071,0.284,None,BAO_0010071,0
1912425,2D TROSY [1H-15N] spectroscopy,mass spectrometry,BAO:0000055,http://www.bioassayontology.org/bao#BAO_0000055,0.27,None,BAO_0000055,0
1912425,2D TROSY [1H-15N] spectroscopy,2D structure prediction,BAO:0002213,http://www.bioassayontology.org/bao#BAO_0002213,0.147,None,BAO_0002213,0
1912425,2D TROSY [1H-15N] spectroscopy,bioassay specification,BAO:0000026,http://www.bioassayontology.org/bao#BAO_0000026,0.117,None,BAO_0000026,0
1912425,2D TROSY [1H-15N] spectroscopy,AnaSpec,BAO:0000847,http://www.bioassayontology.org/bao#BAO_0000847,0.109,None,BAO_0000847,0
1912425,2D TROSY [1H-15N] spectroscopy,estrogen,BAO:0000760,http://www.bioassayontology.org/bao#BAO_0000760,0.107,None,BAO_0000760,0
1912425,2D TROSY [1H-15N] spectroscopy,assay control,BAO:0000072,http://www.bioassayontology.org/bao#BAO_0000072,0.1,None,BAO_0000072,0
1912425,2D TROSY [1H-15N] spectroscopy,response to reactive oxygen species,GO:0000302,http://purl.obolibrary.org/obo/GO_0000302,0.095,None,GO_0000302,0
1912425,2D TROSY [1H-15N] spectroscopy,prostaglandin,BAO:0001000,http://www.bioassayontology.org/bao#BAO_0001000,0.093,None,BAO_0001000,0
1912425,2D TROSY [1H-15N] spectroscopy,staurosporine,BAO:0001021,http://www.bioassayontology.org/bao#BAO_0001021,0.092,None,BAO_0001021,0
1912425,2D TROSY [1H-15N] spectroscopy,Invitrogen,BAO:0000677,http://www.bioassayontology.org/bao#BAO_0000677,0.088,None,BAO_0000677,0
1912425,2D TROSY [1H-15N] spectroscopy,MicroSource Discovery Systems,BAO:0000721,http://www.bioassayontology.org/bao#BAO_0000721,0.088,None,BAO_0000721,0
1912425,2D TROSY [1H-15N] spectroscopy,percent control,BAO:0000143,http://www.bioassayontology.org/bao#BAO_0000143,0.086,None,BAO_0000143,0
1912425,2D TROSY [1H-15N] spectroscopy,necrotic cell death,GO:0070265,http://purl.obolibrary.org/obo/GO_0070265,0.086,None,GO_0070265,0
1912425,2D TROSY [1H-15N] spectroscopy,microsomal binding assay,BAO:0010138,http://www.bioassayontology.org/bao#BAO_0010138,0.083,None,BAO_0010138,0
1912425,2D TROSY [1H-15N] spectroscopy,prostaglandin E2,BAO:0001001,http://www.bioassayontology.org/bao#BAO_0001001,0.082,None,BAO_0001001,0
1912425,2D TROSY [1H-15N] spectroscopy,microsomal stability assay,BAO:0010006,http://www.bioassayontology.org/bao#BAO_0010006,0.08,None,BAO_0010006,0
1912425,2D TROSY [1H-15N] spectroscopy,transfection agent,BAO:0002105,http://www.bioassayontology.org/bao#BAO_0002105,0.075,None,BAO_0002105,0
1912425,2D TROSY [1H-15N] spectroscopy,Resorufin beta-D-glucopyranoside,BAO:0001008,http://www.bioassayontology.org/bao#BAO_0001008,0.072,None,BAO_0001008,0
1912425,2D TROSY [1H-15N] spectroscopy,Tumor necrosis factor,BAO:0000236,http://www.bioassayontology.org/bao#BAO_0000236,0.071,None,BAO_0000236,0
1912425,2D TROSY [1H-15N] spectroscopy,[3H]N-methylscopolamine,BAO:0000829,http://www.bioassayontology.org/bao#BAO_0000829,0.07,None,BAO_0000829,0
1912425,2D TROSY [1H-15N] spectroscopy,LJL BioSystems,BAO:0000729,http://www.bioassayontology.org/bao#BAO_0000729,0.07,None,BAO_0000729,0
1912425,2D TROSY [1H-15N] spectroscopy,Fluorescein Di-beta-D-Glucopyranoside,BAO:0000910,http://www.bioassayontology.org/bao#BAO_0000910,0.068,None,BAO_0000910,0
1912425,2D TROSY [1H-15N] spectroscopy,para-nitrophenol,BAO:0000986,http://www.bioassayontology.org/bao#BAO_0000986,0.067,None,BAO_0000986,0
1912425,2D TROSY [1H-15N] spectroscopy,non-specific protein binding assay,BAO:0002531,http://www.bioassayontology.org/bao#BAO_0002531,0.065,None,BAO_0002531,0
1912425,2D TROSY [1H-15N] spectroscopy,estrogen-alexa 633,BAO:0000900,http://www.bioassayontology.org/bao#BAO_0000900,0.063,None,BAO_0000900,0
1912425,2D TROSY [1H-15N] spectroscopy,Applied Biosystems,BAO:0000851,http://www.bioassayontology.org/bao#BAO_0000851,0.062,None,BAO_0000851,0
1912425,2D TROSY [1H-15N] spectroscopy,S-adenosyl methionine,BAO:0000754,http://www.bioassayontology.org/bao#BAO_0000754,0.061,None,BAO_0000754,0
1912425,2D TROSY [1H-15N] spectroscopy,BODIPY GTP,BAO:0000931,http://www.bioassayontology.org/bao#BAO_0000931,0.06,None,BAO_0000931,0
1912425,2D TROSY [1H-15N] spectroscopy,tris,BAO:0000694,http://www.bioassayontology.org/bao#BAO_0000694,0.059,None,BAO_0000694,0
1912425,2D TROSY [1H-15N] spectroscopy,regulation of translation,GO:0006417,http://purl.obolibrary.org/obo/GO_0006417,0.059,None,GO_0006417,0
1912425,2D TROSY [1H-15N] spectroscopy,regulation of DNA-binding transcription factor activity,GO:0051090,http://purl.obolibrary.org/obo/GO_0051090,0.058,None,GO_0051090,0
1912425,2D TROSY [1H-15N] spectroscopy,para-nitrophenylphosphate,BAO:0000987,http://www.bioassayontology.org/bao#BAO_0000987,0.055,None,BAO_0000987,0
1912425,2D TROSY [1H-15N] spectroscopy,Schneider's Drosophila Line 2,BAO:0000743,http://www.bioassayontology.org/bao#BAO_0000743,0.054,None,BAO_0000743,0
1912425,2D TROSY [1H-15N] spectroscopy,Thyrotropin-releasing hormone,BAO:0001034,http://www.bioassayontology.org/bao#BAO_0001034,0.052,None,BAO_0001034,0
1912425,2D TROSY [1H-15N] spectroscopy,BD Biosciences,BAO:0000859,http://www.bioassayontology.org/bao#BAO_0000859,0.051,None,BAO_0000859,0
